HB,Month,TotalPatientsWaiting,TotalPatientsWaitingQF,NumberOfPatientsWaiting0To18Weeks,NumberOfPatientsWaiting0To18WeeksQF,NumberOfPatientsWaiting19To35Weeks,NumberOfPatientsWaiting19To35WeeksQF,NumberOfPatientsWaiting36To52Weeks,NumberOfPatientsWaiting36To52WeeksQF,NumberOfPatientsWaitingOver52Weeks,NumberOfPatientsWaitingOver52WeeksQF
S08000028,201606,19,u,19,u,0,u,0,u,0,u
S92000003,201606,6568,d u,5307,d u,851,d u,326,d u,84,d u
S08000015,201605,357,u,336,u,20,u,1,u,0,u
S08000016,201605,126,u,118,u,8,u,0,u,0,u
S08000017,201605,131,u,130,u,0,u,0,u,1,u
S08000018,201605,557,u,460,u,53,u,28,u,16,u
S08000019,201605,498,u,393,u,105,u,0,u,0,u
S08000020,201605,672,u,588,u,82,u,1,u,1,u
S08000021,201605,949,u,946,u,3,u,0,u,0,u
S08000022,201605,267,u,202,u,46,u,13,u,6,u
S08000023,201605,721,u,680,u,41,u,0,u,0,u
S08000024,201605,1996,u,1132,u,499,u,289,u,76,u
S08000025,201605,5,u,5,u,0,u,0,u,0,u
S08000026,201605,21,u,14,u,7,u,0,u,0,u
S08000027,201605,506,u,493,u,12,u,1,u,0,u
S08000028,201605,13,u,13,u,0,u,0,u,0,u
S92000003,201605,6819,d u,5510,d u,876,d u,333,d u,100,d u
S08000015,201604,328,u,315,u,13,u,0,u,0,u
S08000016,201604,147,u,132,u,15,u,0,u,0,u
S08000017,201604,122,u,122,u,0,u,0,u,0,u
S08000018,201604,581,u,481,u,65,u,22,u,13,u
S08000019,201604,562,u,396,u,165,u,1,u,0,u
S08000020,201604,644,u,499,u,141,u,3,u,1,u
S08000021,201604,964,u,962,u,2,u,0,u,0,u
S08000022,201604,281,u,219,u,47,u,9,u,6,u
S08000023,201604,718,u,681,u,37,u,0,u,0,u
S08000024,201604,2085,u,1154,u,537,u,303,u,91,u
S08000025,201604,2,u,2,u,0,u,0,u,0,u
S08000026,201604,27,u,16,u,11,u,0,u,0,u
S08000027,201604,314,u,314,u,0,u,0,u,0,u
S08000028,201604,10,u,10,u,0,u,0,u,0,u
S92000003,201604,6785,d u,5303,d u,1033,d u,338,d u,111,d u
S08000015,201603,298,u,293,u,5,u,0,u,0,u
S08000016,201603,149,u,139,u,10,u,0,u,0,u
S08000017,201603,123,u,121,u,2,u,0,u,0,u
S08000018,201603,569,u,464,u,77,u,15,u,13,u
S08000019,201603,548,u,418,u,130,u,0,u,0,u
S08000020,201603,648,u,508,u,137,u,1,u,2,u
S08000021,201603,1005,u,1005,u,0,u,0,u,0,u
S08000022,201603,278,u,214,u,52,u,8,u,4,u
S08000023,201603,751,u,733,u,18,u,0,u,0,u
S08000024,201603,2078,u,1190,u,508,u,283,u,97,u
S08000025,201603,0,u,0,u,0,u,0,u,0,u
S08000026,201603,35,u,22,u,12,u,1,u,0,u
S08000027,201603,132,u,126,u,6,u,0,u,0,u
S08000028,201603,10,u,10,u,0,u,0,u,0,u
S92000003,201603,6624,d u,5243,d u,957,d u,308,d u,116,d u
S08000015,201602,318,u,310,u,7,u,1,u,0,u
S08000016,201602,138,u,127,u,9,u,2,u,0,u
S08000017,201602,104,u,103,u,1,u,0,u,0,u
S08000018,201602,529,u,452,u,52,u,15,u,10,u
S08000019,201602,524,u,429,u,94,u,1,u,0,u
S08000020,201602,647,u,512,u,131,u,3,u,1,u
S08000021,201602,956,u,956,u,0,u,0,u,0,u
S08000022,201602,258,u,202,u,41,u,13,u,2,u
S08000023,201602,674,u,653,u,21,u,0,u,0,u
S08000024,201602,2060,u,1245,u,426,u,328,u,61,u
S08000025,201602,3,u,3,u,0,u,0,u,0,u
S08000026,201602,32,u,21,u,10,u,1,u,0,u
S08000027,201602,360,u,358,u,2,u,0,u,0,u
S08000028,201602,15,u,15,u,0,u,0,u,0,u
S92000003,201602,6618,d u,5386,d u,794,d u,364,d u,74,d u
S08000015,201601,281,u,271,u,10,u,0,u,0,u
S08000016,201601,141,u,128,u,13,u,0,u,0,u
S08000017,201601,91,u,91,u,0,u,0,u,0,u
S08000018,201601,519,u,409,u,75,u,27,u,8,u
S08000019,201601,540,u,427,u,113,u,0,u,0,u
S08000020,201601,624,u,501,u,119,u,3,u,1,u
S08000021,201601,892,u,892,u,0,u,0,u,0,u
S08000022,201601,301,u,247,u,40,u,11,u,3,u
S08000023,201601,657,u,640,u,17,u,0,u,0,u
S08000024,201601,1929,u,1182,u,424,u,288,u,35,u
S08000025,201601,7,u,7,u,0,u,0,u,0,u
S08000026,201601,42,u,27,u,9,u,6,u,0,u
S08000027,201601,295,u,292,u,3,u,0,u,0,u
S08000028,201601,18,u,18,u,0,u,0,u,0,u
S92000003,201601,6337,d u,5132,d u,823,d u,335,d u,47,d u
S08000015,201512,284,u,258,u,24,u,1,u,1,u
S08000016,201512,145,u,132,u,12,u,1,u,0,u
S08000017,201512,93,u,93,u,0,u,0,u,0,u
S08000018,201512,498,u,410,u,59,u,23,u,6,u
S08000019,201512,525,u,494,u,30,u,1,u,0,u
S08000020,201512,614,u,516,u,95,u,3,u,0,u
S08000021,201512,933,u,932,u,1,u,0,u,0,u
S08000022,201512,291,u,256,u,21,u,14,u,0,u
S08000023,201512,638,u,625,u,13,u,0,u,0,u
S08000024,201512,1900,u,1191,u,425,u,256,u,28,u
S08000025,201512,6,u,6,u,0,u,0,u,0,u
S08000026,201512,49,u,33,u,8,u,8,u,0,u
S08000027,201512,525,u,501,u,20,u,4,u,0,u
S08000028,201512,12,u,12,u,0,u,0,u,0,u
S92000003,201512,6513,d u,5459,d u,708,d u,311,d u,35,d u
S08000015,201511,235,u,218,u,15,u,0,u,2,u
S08000016,201511,144,u,123,u,21,u,0,u,0,u
S08000017,201511,88,u,88,u,0,u,0,u,0,u
S08000018,201511,470,u,374,u,64,u,27,u,5,u
S08000019,201511,552,u,481,u,68,u,3,u,0,u
S08000020,201511,742,u,642,u,91,u,5,u,4,u
S08000021,201511,913,u,913,u,0,u,0,u,0,u
S08000022,201511,292,u,244,u,31,u,17,u,0,u
S08000023,201511,564,u,553,u,11,u,0,u,0,u
S08000024,201511,1826,u,1139,u,436,u,236,u,15,u
S08000025,201511,7,u,7,u,0,u,0,u,0,u
S08000026,201511,37,u,20,u,11,u,6,u,0,u
S08000027,201511,477,u,451,u,22,u,4,u,0,u
S08000028,201511,8,u,8,u,0,u,0,u,0,u
S92000003,201511,6355,d u,5261,d u,770,d u,298,d u,26,d u
S08000015,201510,199,u,189,u,10,u,0,u,0,u
S08000016,201510,152,u,128,u,24,u,0,u,0,u
S08000017,201510,86,u,86,u,0,u,0,u,0,u
S08000018,201510,480,u,368,u,86,u,24,u,2,u
S08000019,201510,597,u,421,u,165,u,11,u,0,u
S08000020,201510,725,u,579,u,136,u,6,u,4,u
S08000021,201510,845,u,845,u,0,u,0,u,0,u
S08000022,201510,299,u,192,u,69,u,36,u,2,u
S08000023,201510,564,u,533,u,31,u,0,u,0,u
S08000024,201510,1677,u,947,u,503,u,215,u,12,u
S08000025,201510,6,u,6,u,0,u,0,u,0,u
S08000026,201510,31,u,13,u,18,u,0,u,0,u
S08000027,201510,491,u,416,u,74,u,1,u,0,u
S08000028,201510,7,u,7,u,0,u,0,u,0,u
S92000003,201510,6159,d u,4730,d u,1116,d u,293,d u,20,d u
S08000015,201509,177,u,171,u,6,u,0,u,0,u
S08000016,201509,160,u,134,u,26,u,0,u,0,u
S08000017,201509,89,u,89,u,0,u,0,u,0,u
S08000018,201509,491,u,344,u,123,u,22,u,2,u
S08000019,201509,556,u,395,u,156,u,5,u,0,u
S08000020,201509,675,u,548,u,120,u,3,u,4,u
S08000021,201509,783,u,783,u,0,u,0,u,0,u
S08000022,201509,372,u,205,u,64,u,36,u,67,u
S08000023,201509,533,u,494,u,39,u,0,u,0,u
S08000024,201509,1668,u,988,u,518,u,154,u,8,u
S08000025,201509,6,u,6,u,0,u,0,u,0,u
S08000026,201509,27,u,11,u,16,u,0,u,0,u
S08000027,201509,588,u,425,u,161,u,2,u,0,u
S08000028,201509,16,u,16,u,0,u,0,u,0,u
S92000003,201509,6141,d u,4609,d u,1229,d u,222,d u,81,d u
S08000015,201508,151,u,147,u,4,u,0,u,0,u
S08000016,201508,146,u,130,u,16,u,0,u,0,u
S08000017,201508,77,u,76,u,1,u,0,u,0,u
S08000018,201508,508,u,359,u,113,u,35,u,1,u
S08000019,201508,527,u,336,u,179,u,11,u,1,u
S08000020,201508,608,u,523,u,83,u,2,u,0,u
S08000021,201508,693,u,693,u,0,u,0,u,0,u
S08000022,201508,285,u,173,u,86,u,24,u,2,u
S08000023,201508,483,u,414,u,69,u,0,u,0,u
S08000024,201508,1737,u,1043,u,521,u,167,u,6,u
S08000025,201508,2,u,2,u,0,u,0,u,0,u
S08000026,201508,27,u,13,u,14,u,0,u,0,u
S08000027,201508,577,u,410,u,162,u,5,u,0,u
S08000028,201508,13,u,13,u,0,u,0,u,0,u
S92000003,201508,5834,d u,4332,d u,1248,d u,244,d u,10,d u
S08000015,201507,142,u,131,u,10,u,0,u,1,u
S08000016,201507,146,u,123,u,22,u,1,u,0,u
S08000017,201507,59,u,59,u,0,u,0,u,0,u
S08000018,201507,510,u,374,u,97,u,35,u,4,u
S08000019,201507,452,u,278,u,165,u,8,u,1,u
S08000020,201507,648,u,558,u,89,u,1,u,0,u
S08000021,201507,741,u,741,u,0,u,0,u,0,u
S08000022,201507,331,u,205,u,113,u,11,u,2,u
S08000023,201507,520,u,453,u,67,u,0,u,0,u
S08000024,201507,1737,u,1096,u,505,u,131,u,5,u
S08000025,201507,5,u,5,u,0,u,0,u,0,u
S08000026,201507,28,u,21,u,7,u,0,u,0,u
S08000027,201507,661,u,449,u,181,u,28,u,3,u
S08000028,201507,10,u,10,u,0,u,0,u,0,u
S92000003,201507,5990,d u,4503,d u,1256,d u,215,d u,16,d u
S08000015,201506,224,u,207,u,12,u,2,u,3,u
S08000016,201506,146,u,132,u,14,u,0,u,0,u
S08000017,201506,81,u,79,u,2,u,0,u,0,u
S08000018,201506,580,u,417,u,117,u,35,u,11,u
S08000019,201506,468,u,345,u,117,u,4,u,2,u
S08000020,201506,717,u,668,u,49,u,0,u,0,u
S08000021,201506,870,u,870,u,0,u,0,u,0,u
S08000022,201506,373,u,269,u,94,u,8,u,2,u
S08000023,201506,547,u,514,u,33,u,0,u,0,u
S08000024,201506,1708,u,1192,u,427,u,88,u,1,u
S08000025,201506,4,u,4,u,0,u,0,u,0,u
S08000026,201506,38,u,36,u,2,u,0,u,0,u
S08000027,201506,752,u,465,u,215,u,71,u,1,u
S08000028,201506,11,u,11,u,0,u,0,u,0,u
S92000003,201506,6519,d u,5209,d u,1082,d u,208,d u,20,d u
S08000015,201505,228,u,223,u,4,u,1,u,0,u
S08000016,201505,144,u,133,u,11,u,0,u,0,u
S08000017,201505,99,u,98,u,1,u,0,u,0,u
S08000018,201505,640,u,446,u,131,u,46,u,17,u
S08000019,201505,485,u,383,u,98,u,2,u,2,u
S08000020,201505,727,u,669,u,58,u,0,u,0,u
S08000021,201505,903,u,903,u,0,u,0,u,0,u
S08000022,201505,343,u,257,u,77,u,7,u,2,u
S08000023,201505,497,u,486,u,11,u,0,u,0,u
S08000024,201505,1709,u,1222,u,403,u,79,u,5,u
S08000025,201505,3,u,3,u,0,u,0,u,0,u
S08000026,201505,,u,,:,,:,,:,,:
S08000027,201505,817,u,491,u,229,u,92,u,5,u
S08000028,201505,9,u,9,u,0,u,0,u,0,u
S92000003,201505,6604,d u,5323,d u,1023,d u,227,d u,31,d u
S08000015,201504,223,u,213,u,7,u,0,u,3,u
S08000016,201504,129,u,117,u,12,u,0,u,0,u
S08000017,201504,113,u,109,u,4,u,0,u,0,u
S08000018,201504,639,u,428,u,151,u,49,u,11,u
S08000019,201504,450,u,362,u,87,u,1,u,0,u
S08000020,201504,703,u,638,u,64,u,1,u,0,u
S08000021,201504,990,u,990,u,0,u,0,u,0,u
S08000022,201504,332,u,284,u,43,u,4,u,1,u
S08000023,201504,514,u,496,u,18,u,0,u,0,u
S08000024,201504,1687,u,1206,u,417,u,60,u,4,u
S08000025,201504,6,u,6,u,0,u,0,u,0,u
S08000026,201504,,:,,:,,:,,:,,:
S08000027,201504,849,u,435,u,275,u,128,u,11,u
S08000028,201504,14,u,14,u,0,u,0,u,0,u
S92000003,201504,6649,d u,5298,d u,1078,d u,243,d u,30,d u
S08000015,201503,222,u,221,u,1,u,0,u,0,u
S08000016,201503,132,u,121,u,11,u,0,u,0,u
S08000017,201503,131,u,128,u,3,u,0,u,0,u
S08000018,201503,612,u,447,u,119,u,44,u,2,u
S08000019,201503,469,u,372,u,97,u,0,u,0,u
S08000020,201503,705,u,659,u,44,u,1,u,1,u
S08000021,201503,1079,u,1078,u,1,u,0,u,0,u
S08000022,201503,379,u,353,u,22,u,3,u,1,u
S08000023,201503,506,u,493,u,13,u,0,u,0,u
S08000024,201503,1704,u,1259,u,385,u,57,u,3,u
S08000025,201503,6,u,6,u,0,u,0,u,0,u
S08000026,201503,,:,,:,,:,,:,,:
S08000027,201503,902,u,437,u,250,u,186,u,29,u
S08000028,201503,20,u,20,u,0,u,0,u,0,u
S92000003,201503,6867,d u,5594,d u,946,d u,291,d u,36,d u
S08000015,201502,209,u,197,u,9,u,1,u,2,u
S08000016,201502,125,u,117,u,8,u,0,u,0,u
S08000017,201502,93,u,93,u,0,u,0,u,0,u
S08000018,201502,522,u,374,u,98,u,48,u,2,u
S08000019,201502,380,u,316,u,60,u,4,u,0,u
S08000020,201502,652,u,604,u,46,u,0,u,2,u
S08000021,201502,1058,u,1058,u,0,u,0,u,0,u
S08000022,201502,356,u,318,u,26,u,9,u,3,u
S08000023,201502,446,u,444,u,2,u,0,u,0,u
S08000024,201502,1699,u,1253,u,386,u,51,u,9,u
S08000025,201502,10,u,10,u,0,u,0,u,0,u
S08000026,201502,30,u,27,u,3,u,0,u,0,u
S08000027,201502,975,u,390,u,245,u,228,u,112,u
S08000028,201502,10,u,10,u,0,u,0,u,0,u
S92000003,201502,6565,d u,5211,d u,883,d u,341,d u,130,d u
S08000015,201501,171,u,160,u,9,u,2,u,0,u
S08000016,201501,106,u,104,u,2,u,0,u,0,u
S08000017,201501,87,u,87,u,0,u,0,u,0,u
S08000018,201501,530,u,380,u,99,u,50,u,1,u
S08000019,201501,346,u,293,u,48,u,5,u,0,u
S08000020,201501,647,u,612,u,34,u,1,u,0,u
S08000021,201501,1044,u,1042,u,2,u,0,u,0,u
S08000022,201501,307,u,271,u,24,u,11,u,1,u
S08000023,201501,407,u,403,u,4,u,0,u,0,u
S08000024,201501,1651,u,1223,u,363,u,55,u,10,u
S08000025,201501,13,u,13,u,0,u,0,u,0,u
S08000026,201501,28,u,26,u,2,u,0,u,0,u
S08000027,201501,1061,u,392,u,240,u,248,u,181,u
S08000028,201501,11,u,11,u,0,u,0,u,0,u
S92000003,201501,6409,d u,5017,d u,827,d u,372,d u,193,d u
S08000015,201412,204,u,184,u,11,u,9,u,0,u
S08000016,201412,99,u,98,u,1,u,0,u,0,u
S08000017,201412,89,u,88,u,1,u,0,u,0,u
S08000018,201412,519,u,398,u,91,u,29,u,1,u
S08000019,201412,326,u,284,u,37,u,5,u,0,u
S08000020,201412,624,u,586,u,37,u,1,u,0,u
S08000021,201412,1083,u,1082,u,1,u,0,u,0,u
S08000022,201412,277,u,243,u,22,u,11,u,1,u
S08000023,201412,421,u,417,u,4,u,0,u,0,u
S08000024,201412,1784,u,1290,u,365,u,115,u,14,u
S08000025,201412,6,u,6,u,0,u,0,u,0,u
S08000026,201412,23,u,23,u,0,u,0,u,0,u
S08000027,201412,1105,u,404,u,229,u,262,u,210,u
S08000028,201412,13,u,13,u,0,u,0,u,0,u
S92000003,201412,6573,d u,5116,d u,799,d u,432,d u,226,d u
S08000015,201411,195,u,180,u,8,u,7,u,0,u
S08000016,201411,102,u,102,u,0,u,0,u,0,u
S08000017,201411,92,u,91,u,1,u,0,u,0,u
S08000018,201411,463,u,336,u,98,u,27,u,2,u
S08000019,201411,316,u,273,u,35,u,5,u,3,u
S08000020,201411,555,u,490,u,62,u,3,u,0,u
S08000021,201411,1095,u,1095,u,0,u,0,u,0,u
S08000022,201411,239,u,212,u,16,u,10,u,1,u
S08000023,201411,379,u,366,u,12,u,1,u,0,u
S08000024,201411,1678,u,1185,u,325,u,139,u,29,u
S08000025,201411,8,u,8,u,0,u,0,u,0,u
S08000026,201411,21,u,21,u,0,u,0,u,0,u
S08000027,201411,1050,u,353,u,227,u,284,u,186,u
S08000028,201411,12,u,12,u,0,u,0,u,0,u
S92000003,201411,6205,d u,4724,d u,784,d u,476,d u,221,d u
S08000015,201410,275,u,223,u,23,u,26,u,3,u
S08000016,201410,97,u,97,u,0,u,0,u,0,u
S08000017,201410,84,u,84,u,0,u,0,u,0,u
S08000018,201410,486,u,339,u,108,u,33,u,6,u
S08000019,201410,309,u,254,u,46,u,8,u,1,u
S08000020,201410,587,u,490,u,92,u,4,u,1,u
S08000021,201410,967,u,965,u,2,u,0,u,0,u
S08000022,201410,190,u,155,u,29,u,3,u,3,u
S08000023,201410,396,u,360,u,35,u,1,u,0,u
S08000024,201410,1680,u,1154,u,325,u,156,u,45,u
S08000025,201410,9,u,9,u,0,u,0,u,0,u
S08000026,201410,10,u,10,u,0,u,0,u,0,u
S08000027,201410,1140,u,353,u,280,u,321,u,186,u
S08000028,201410,2,u,2,u,0,u,0,u,0,u
S92000003,201410,6232,d u,4495,d u,940,d u,552,d u,245,d u
S08000015,201409,330,u,231,u,70,u,23,u,6,u
S08000016,201409,91,u,91,u,0,u,0,u,0,u
S08000017,201409,65,u,65,u,0,u,0,u,0,u
S08000018,201409,506,u,318,u,147,u,37,u,4,u
S08000019,201409,336,u,257,u,71,u,7,u,1,u
S08000020,201409,618,u,504,u,107,u,6,u,1,u
S08000021,201409,927,u,918,u,9,u,0,u,0,u
S08000022,201409,,:,,:,,:,,:,,:
S08000023,201409,433,u,381,u,52,u,0,u,0,u
S08000024,201409,1724,u,1101,u,383,u,178,u,62,u
S08000025,201409,7,u,7,u,0,u,0,u,0,u
S08000026,201409,13,u,12,u,1,u,0,u,0,u
S08000027,201409,1089,u,337,u,310,u,305,u,137,u
S08000028,201409,7,u,7,u,0,u,0,u,0,u
S92000003,201409,6146,d u,4229,d u,1150,d u,556,d u,211,d u
S08000015,201408,400,u,247,u,106,u,40,u,7,u
S08000016,201408,72,u,72,u,0,u,0,u,0,u
S08000017,201408,47,u,47,u,0,u,0,u,0,u
S08000018,201408,481,u,302,u,142,u,37,u,0,u
S08000019,201408,296,u,209,u,73,u,14,u,0,u
S08000020,201408,651,u,517,u,121,u,10,u,3,u
S08000021,201408,908,u,900,u,8,u,0,u,0,u
S08000022,201408,,:,,:,,:,,:,,:
S08000023,201408,439,u,362,u,77,u,0,u,0,u
S08000024,201408,1565,u,964,u,382,u,170,u,49,u
S08000025,201408,3,u,3,u,0,u,0,u,0,u
S08000026,201408,11,u,11,u,0,u,0,u,0,u
S08000027,201408,1101,u,331,u,349,u,301,u,120,u
S08000028,201408,5,u,5,u,0,u,0,u,0,u
S92000003,201408,5979,d u,3970,d u,1258,d u,572,d u,179,d u
S08000015,201407,455,u,292,u,126,u,29,u,8,u
S08000016,201407,53,u,53,u,0,u,0,u,0,u
S08000017,201407,49,u,49,u,0,u,0,u,0,u
S08000018,201407,501,u,279,u,181,u,40,u,1,u
S08000019,201407,281,u,198,u,67,u,15,u,1,u
S08000020,201407,674,u,548,u,114,u,10,u,2,u
S08000021,201407,913,u,907,u,6,u,0,u,0,u
S08000022,201407,,:,,:,,:,,:,,:
S08000023,201407,441,u,363,u,78,u,0,u,0,u
S08000024,201407,,:,,:,,:,,:,,:
S08000025,201407,10,u,10,u,0,u,0,u,0,u
S08000026,201407,15,u,11,u,4,u,0,u,0,u
S08000027,201407,1057,u,329,u,358,u,303,u,67,u
S08000028,201407,4,u,4,u,0,u,0,u,0,u
S92000003,201407,4453,d u,3043,d u,934,d u,397,d u,79,d u
S08000015,201406,623,u,397,u,170,u,45,u,11,u
S08000016,201406,112,u,112,u,0,u,0,u,0,u
S08000017,201406,73,u,73,u,0,u,0,u,0,u
S08000018,201406,550,u,322,u,176,u,48,u,4,u
S08000019,201406,325,u,216,u,84,u,21,u,4,u
S08000020,201406,705,u,585,u,110,u,7,u,3,u
S08000021,201406,1023,u,1020,u,3,u,0,u,0,u
S08000022,201406,,:,,:,,:,,:,,:
S08000023,201406,717,u,617,u,100,u,0,u,0,u
S08000024,201406,,:,,:,,:,,:,,:
S08000025,201406,9,u,9,u,0,u,0,u,0,u
S08000026,201406,19,u,17,u,2,u,0,u,0,u
S08000027,201406,1104,u,383,u,381,u,273,u,67,u
S08000028,201406,1,u,1,u,0,u,0,u,0,u
S92000003,201406,5261,d u,3752,d u,1026,d u,394,d u,89,d u
S08000015,201405,741,u,411,u,194,u,117,u,19,u
S08000016,201405,114,u,114,u,0,u,0,u,0,u
S08000017,201405,85,u,85,u,0,u,0,u,0,u
S08000018,201405,583,u,366,u,156,u,56,u,5,u
S08000019,201405,316,u,217,u,75,u,24,u,0,u
S08000020,201405,751,u,633,u,105,u,9,u,4,u
S08000021,201405,982,u,982,u,0,u,0,u,0,u
S08000022,201405,,:,,:,,:,,:,,:
S08000023,201405,698,u,621,u,77,u,0,u,0,u
S08000024,201405,1569,u,1135,u,318,u,113,u,3,u
S08000025,201405,12,u,12,u,0,u,0,u,0,u
S08000026,201405,18,u,14,u,4,u,0,u,0,u
S08000027,201405,1098,u,402,u,383,u,260,u,53,u
S08000028,201405,5,u,5,u,0,u,0,u,0,u
S92000003,201405,6972,d u,4997,d u,1312,d u,579,d u,84,d u
S08000015,201404,773,u,441,u,210,u,110,u,12,u
S08000016,201404,110,u,110,u,0,u,0,u,0,u
S08000017,201404,64,u,63,u,1,u,0,u,0,u
S08000018,201404,553,u,373,u,136,u,44,u,0,u
S08000019,201404,327,u,229,u,71,u,26,u,1,u
S08000020,201404,794,u,642,u,144,u,3,u,5,u
S08000021,201404,1037,u,1037,u,0,u,0,u,0,u
S08000022,201404,,:,,:,,:,,:,,:
S08000023,201404,572,u,484,u,88,u,0,u,0,u
S08000024,201404,1537,u,1075,u,358,u,103,u,1,u
S08000025,201404,6,u,6,u,0,u,0,u,0,u
S08000026,201404,15,u,15,u,0,u,0,u,0,u
S08000027,201404,1084,u,458,u,370,u,249,u,7,u
S08000028,201404,4,u,4,u,0,u,0,u,0,u
S92000003,201404,6876,d u,4937,d u,1378,d u,535,d u,26,d u
S08000015,201403,755,u,471,u,185,u,95,u,4,u
S08000016,201403,109,u,109,u,0,u,0,u,0,u
S08000017,201403,99,u,98,u,1,u,0,u,0,u
S08000018,201403,590,u,434,u,122,u,33,u,1,u
S08000019,201403,328,u,251,u,58,u,18,u,1,u
S08000020,201403,793,u,651,u,130,u,6,u,6,u
S08000021,201403,1131,u,1130,u,1,u,0,u,0,u
S08000022,201403,,:,,:,,:,,:,,:
S08000023,201403,533,u,464,u,69,u,0,u,0,u
S08000024,201403,1587,u,1180,u,311,u,95,u,1,u
S08000025,201403,6,u,6,u,0,u,0,u,0,u
S08000026,201403,18,u,16,u,2,u,0,u,0,u
S08000027,201403,1130,u,549,u,394,u,187,u,0,u
S08000028,201403,7,u,7,u,0,u,0,u,0,u
S92000003,201403,7086,d u,5366,d u,1273,d u,434,d u,13,d u
S08000015,201402,786,u,488,u,208,u,89,u,1,u
S08000016,201402,80,u,80,u,0,u,0,u,0,u
S08000017,201402,100,u,99,u,1,u,0,u,0,u
S08000018,201402,542,u,417,u,95,u,30,u,0,u
S08000019,201402,335,u,255,u,61,u,19,u,0,u
S08000020,201402,763,u,643,u,101,u,8,u,11,u
S08000021,201402,1015,u,1015,u,0,u,0,u,0,u
S08000022,201402,228,u,210,u,16,u,2,u,0,u
S08000023,201402,560,u,526,u,34,u,0,u,0,u
S08000024,201402,1482,u,1122,u,289,u,71,u,0,u
S08000025,201402,4,u,4,u,0,u,0,u,0,u
S08000026,201402,14,u,13,u,1,u,0,u,0,u
S08000027,201402,1052,u,555,u,349,u,147,u,1,u
S08000028,201402,19,u,19,u,0,u,0,u,0,u
S92000003,201402,6980,d u,5446,d u,1155,d u,366,d u,13,d u
S08000015,201401,708,u,430,u,206,u,71,u,1,u
S08000016,201401,69,u,69,u,0,u,0,u,0,u
S08000017,201401,89,u,89,u,0,u,0,u,0,u
S08000018,201401,529,u,395,u,114,u,20,u,0,u
S08000019,201401,331,u,245,u,73,u,13,u,0,u
S08000020,201401,703,u,574,u,110,u,10,u,9,u
S08000021,201401,980,u,978,u,2,u,0,u,0,u
S08000022,201401,198,u,183,u,14,u,1,u,0,u
S08000023,201401,573,u,537,u,36,u,0,u,0,u
S08000024,201401,1434,u,1106,u,275,u,52,u,1,u
S08000025,201401,6,u,6,u,0,u,0,u,0,u
S08000026,201401,14,u,13,u,1,u,0,u,0,u
S08000027,201401,958,u,539,u,313,u,105,u,1,u
S08000028,201401,14,u,14,u,0,u,0,u,0,u
S92000003,201401,6606,d u,5178,d u,1144,d u,272,d u,12,d u
S08000015,201312,623,u,388,u,192,u,43,u,0,u
S08000016,201312,80,u,80,u,0,u,0,u,0,u
S08000017,201312,107,u,107,u,0,u,0,u,0,u
S08000018,201312,510,u,403,u,100,u,7,u,0,u
S08000019,201312,303,u,234,u,65,u,4,u,0,u
S08000020,201312,804,u,641,u,121,u,28,u,14,u
S08000021,201312,905,u,904,u,1,u,0,u,0,u
S08000022,201312,195,u,186,u,8,u,1,u,0,u
S08000023,201312,534,u,504,u,30,u,0,u,0,u
S08000024,201312,1398,u,1080,u,274,u,39,u,5,u
S08000025,201312,7,u,7,u,0,u,0,u,0,u
S08000026,201312,19,u,19,u,0,u,0,u,0,u
S08000027,201312,914,u,531,u,339,u,43,u,1,u
S08000028,201312,6,u,6,u,0,u,0,u,0,u
S92000003,201312,6405,d u,5090,d u,1130,d u,165,d u,20,d u
S08000015,201311,518,u,331,u,166,u,21,u,0,u
S08000016,201311,67,u,67,u,0,u,0,u,0,u
S08000017,201311,80,u,79,u,1,u,0,u,0,u
S08000018,201311,439,u,332,u,106,u,1,u,0,u
S08000019,201311,281,u,226,u,52,u,3,u,0,u
S08000020,201311,745,u,596,u,110,u,29,u,10,u
S08000021,201311,893,u,893,u,0,u,0,u,0,u
S08000022,201311,194,u,188,u,6,u,0,u,0,u
S08000023,201311,496,u,470,u,26,u,0,u,0,u
S08000024,201311,1268,u,975,u,248,u,43,u,2,u
S08000025,201311,10,u,10,u,0,u,0,u,0,u
S08000026,201311,17,u,17,u,0,u,0,u,0,u
S08000027,201311,883,u,536,u,294,u,38,u,15,u
S08000028,201311,9,u,9,u,0,u,0,u,0,u
S92000003,201311,5900,d u,4729,d u,1009,d u,135,d u,27,d u
S08000015,201310,446,u,286,u,152,u,8,u,0,u
S08000016,201310,80,u,80,u,0,u,0,u,0,u
S08000017,201310,61,u,61,u,0,u,0,u,0,u
S08000018,201310,440,u,349,u,91,u,0,u,0,u
S08000019,201310,264,u,208,u,56,u,0,u,0,u
S08000020,201310,701,u,529,u,130,u,32,u,10,u
S08000021,201310,922,u,921,u,1,u,0,u,0,u
S08000022,201310,201,u,196,u,5,u,0,u,0,u
S08000023,201310,466,u,434,u,32,u,0,u,0,u
S08000024,201310,1211,u,905,u,255,u,47,u,4,u
S08000025,201310,7,u,7,u,0,u,0,u,0,u
S08000026,201310,11,u,11,u,0,u,0,u,0,u
S08000027,201310,822,u,484,u,288,u,36,u,14,u
S08000028,201310,9,u,9,u,0,u,0,u,0,u
S92000003,201310,5641,d u,4480,d u,1010,d u,123,d u,28,d u
